,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020,2022
Paddy rice,1,0.8596554006,0.7441351858,0.7438309028,0.9206380747,0.7712145326,0.9332595578,1.039260184,2.453154391,2.412050214,1.226882999,2.661949174,1.408234901,1.474320827
Wheat,1,1.001156851,0.9868811345,1.03570089,1.146576091,1.124755338,1.326235476,1.417705455,1.317013587,1.431621834,1.411782315,1.558380909,1.642313293,1.716362457
Cereal grains nec,1,1.0357804,0.9688954656,1.083485957,1.186831013,1.060914347,1.248343884,1.181998456,1.22903577,1.265609772,1.24510824,1.356750181,1.340897345,1.342899762
"Vegetables, fruit, nuts",1,1.106946121,1.116458525,1.255171822,1.266389132,1.250505682,1.159110938,1.296023806,1.102280101,1.056535242,1.065542195,0.9821678247,1.057031066,0.9578886008
Oil seeds,1,1.098693429,1.048201038,0.9991835876,1.138869482,1.247489977,1.376888807,1.492035933,1.582500425,1.669182125,1.840962103,1.999278768,2.121793686,2.244274351
"Sugar cane, sugar beet",1,0.9317728106,0.9039840498,1.0253474,1.161278606,1.129983737,1.106847743,1.232893669,1.408614663,1.490671038,1.530623449,1.532990621,1.58690068,1.63049445
Plant-based fibers,1,1.008734777,1.107625805,1.2888952,1.704520432,1.486293712,1.390505202,1.163613443,1.292969007,1.353029019,1.526417168,1.528642145,1.778005362,1.768340234
Crops nec,1,1.268887632,1.45819978,1.871796518,2.207521388,3.006755922,2.861991263,3.291830568,3.425489348,3.575329969,3.911097935,3.759242692,4.112975271,4.504261259
Cattle,1,1.011998957,1.007918833,1.076610758,1.02907598,1.108515513,1.157621448,1.132472581,1.17474497,1.161178886,1.182778467,1.189103627,1.227046275,1.185037566
Pigs,1,0.9392415345,0.9363115837,0.989363267,1.020884715,0.9689610574,1.092869821,1.030419007,1.170955962,1.21467848,1.264843732,1.31596039,1.351657165,1.251237522
Poultry,1,0.9862018963,0.9404153909,0.9984057259,1.017538125,0.8604031985,0.9948838068,0.9332241981,0.958260889,0.9503408264,0.9537307772,0.8858658635,0.9034929845,0.8484163239
Meat animals nec,1,0.8910712109,1.065177533,1.148445825,1.163327224,1.148310249,1.256159692,1.216973496,1.160077711,1.210483198,1.298420453,1.203073087,1.366637576,1.285499025
Animal products nec,1,0.5438262239,0.7354642825,0.8332469454,0.7874827652,0.8032998005,0.7672995696,0.7835281287,1.339655589,1.401034713,0.8214774592,1.427653445,0.8583664787,0.8336436545
Raw milk,1,0.9702327269,1.003091707,1.045694926,1.086826146,1.064418415,1.143907484,1.075632409,1.121536108,1.143715652,1.111686467,1.17109394,1.066453556,1.039357016
"Wool, silk-worm cocoons",1,1.208894439,1.409296673,1.654947399,1.725276563,19.01594736,20.82127757,12.89127648,9.546324431,1.355060696,1.146469567,1.414304644,1.466004768,1.522673175
