Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","250","France","2000","2000","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","77.71","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","250","France","2001","2001","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","82.39","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","250","France","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","83.62","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","250","France","2003","2003","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","86.85","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","250","France","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","85.59","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","250","France","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","85.87","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","250","France","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","88.2","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","250","France","2007","2007","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","89.38","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","250","France","2008","2008","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","93.72","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","250","France","2009","2009","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","93.1","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","250","France","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","93.9","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","250","France","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","96.96","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","250","France","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","99.07","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","250","France","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","100.01","X","International reliable sources","base year is 2015"
