	impact	impact_unit	stressor	factor
0	Value Added	M.EUR	Taxes less subsidies on products purchased: Total	1.0
1	Value Added	M.EUR	Other net taxes on production	1.0
2	Value Added	M.EUR	Compensation of employees; wages, salaries, & employers' social contributions: Low-skilled	1.0
3	Value Added	M.EUR	Compensation of employees; wages, salaries, & employers' social contributions: Medium-skilled	1.0
4	Value Added	M.EUR	Compensation of employees; wages, salaries, & employers' social contributions: High-skilled	1.0
5	Value Added	M.EUR	Operating surplus: Consumption of fixed capital	1.0
6	Value Added	M.EUR	Operating surplus: Rents on land	1.0
7	Value Added	M.EUR	Operating surplus: Royalties on resources	1.0
8	Value Added	M.EUR	Operating surplus: Remaining net operating surplus	1.0
1716	Employment	1000 p.	Employment: Low-skilled male	1.0
1717	Employment	1000 p.	Employment: Low-skilled female	1.0
1718	Employment	1000 p.	Employment: Medium-skilled male	1.0
1719	Employment	1000 p.	Employment: Medium-skilled female	1.0
1720	Employment	1000 p.	Employment: High-skilled male	1.0
1721	Employment	1000 p.	Employment: High-skilled female	1.0
3429	Employment hour	hr	Employment hours: Low-skilled male	1000000.0
3430	Employment hour	hr	Employment hours: Low-skilled female	1000000.0
3431	Employment hour	hr	Employment hours: Medium-skilled male	1000000.0
3432	Employment hour	hr	Employment hours: Medium-skilled female	1000000.0
3433	Employment hour	hr	Employment hours: High-skilled male	1000000.0
3434	Employment hour	hr	Employment hours: High-skilled female	1000000.0
13679	GHG emissions (GWP100) | Problem oriented approach: baseline (CML, 2001) | GWP100 (IPCC, 2007)	kg CO2 eq.	CO2 - combustion - air	1.0
13680	GHG emissions (GWP100) | Problem oriented approach: baseline (CML, 2001) | GWP100 (IPCC, 2007)	kg CO2 eq.	CH4 - combustion - air	25.0
13681	GHG emissions (GWP100) | Problem oriented approach: baseline (CML, 2001) | GWP100 (IPCC, 2007)	kg CO2 eq.	N2O - combustion - air	298.0
13723	GHG emissions (GWP100) | Problem oriented approach: baseline (CML, 2001) | GWP100 (IPCC, 2007)	kg CO2 eq.	CH4 - non combustion - Extraction/production of (natural) gas - air	25.0
